Layer,Month,Year,Date,Tile_item_id,Tile_Name,Tile_URL,FC_item_id,FC_Name,FC_URL
US Vessel Traffic 2020 09,09,2020,2020_09,33ecd9aa06a74d35beda7ef86de7d614,US_Vessel_Traffic_2020_09_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2020_09_optimized/VectorTileServer,c31c9fdcb237476aa9c91956cc9917c7,US_Vessel_Traffic_2020_09_creds,https://utility.arcgis.com/usrsvcs/servers/c31c9fdcb237476aa9c91956cc9917c7/rest/services/AIS/2020_US_Vessel_Traffic/FeatureServer/8
US Vessel Traffic 2020 10,10,2020,2020_10,9239125d39dc4c88859b88735f99ddb5,US_Vessel_Traffic_2020_10_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2020_10_optimized/VectorTileServer,730295f2729c4da7ae3f2504aae50df2,US_Vessel_Traffic_2020_10_creds,https://utility.arcgis.com/usrsvcs/servers/730295f2729c4da7ae3f2504aae50df2/rest/services/AIS/2020_US_Vessel_Traffic/FeatureServer/9
US Vessel Traffic 2020 11,11,2020,2020_11,c4cb32f15d094840a6f9bf306522824b,US_Vessel_Traffic_2020_11_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2020_11_optimized/VectorTileServer,d9717e99d9b149b2b4cf28d3ca8f6adb,US_Vessel_Traffic_2020_11_creds,https://utility.arcgis.com/usrsvcs/servers/d9717e99d9b149b2b4cf28d3ca8f6adb/rest/services/AIS/2020_US_Vessel_Traffic/FeatureServer/10
US Vessel Traffic 2020 12,12,2020,2020_12,fd6238cfe546490fa5dafb52578e2c31,US_Vessel_Traffic_2020_12_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2020_12_optimized/VectorTileServer,1cfcafa8c10441f59448e8d155aebf62,US_Vessel_Traffic_2020_12_creds,https://utility.arcgis.com/usrsvcs/servers/1cfcafa8c10441f59448e8d155aebf62/rest/services/AIS/2020_US_Vessel_Traffic/FeatureServer/11
US Vessel Traffic 2021 01,01,2021,2021_01,6d131b9a671a46c8b98da84e3ca72ba5,US_Vessel_Traffic_2021_01_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_01_optimized/VectorTileServer,e18ea71ee8fa44ba8d9f0c12d1e7b8ea,US_Vessel_Traffic_2021_01_creds,https://utility.arcgis.com/usrsvcs/servers/e18ea71ee8fa44ba8d9f0c12d1e7b8ea/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/0
US Vessel Traffic 2021 02,02,2021,2021_02,c5317229d5ee4da8ad0fe351e774b46b,US_Vessel_Traffic_2021_02_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_02_optimized/VectorTileServer,52e221afe10e4a63b52889f340333e5d,US_Vessel_Traffic_2021_02_creds,https://utility.arcgis.com/usrsvcs/servers/52e221afe10e4a63b52889f340333e5d/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/1
US Vessel Traffic 2021 03,03,2021,2021_03,28efa3b6d0674c71ad832581b0b21c61,US_Vessel_Traffic_2021_03_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_03_optimized/VectorTileServer,a74475cfc57f4c22a7b9887d84243d88,US_Vessel_Traffic_2021_03_creds,https://utility.arcgis.com/usrsvcs/servers/a74475cfc57f4c22a7b9887d84243d88/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/2
US Vessel Traffic 2021 04,04,2021,2021_04,c5299373eba541b79b7ad5dc6a7a4d67,US_Vessel_Traffic_2021_04_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_04_optimized/VectorTileServer,a215f0fda09d46e8abd5b96034ce8c9f,US_Vessel_Traffic_2021_04_creds,https://utility.arcgis.com/usrsvcs/servers/a215f0fda09d46e8abd5b96034ce8c9f/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/3
US Vessel Traffic 2021 05,05,2021,2021_05,e8ac52af4b754bebb965c6a3b1ab0062,US_Vessel_Traffic_2021_05_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_05_optimized/VectorTileServer,da6e43ec357c4922a770a7f54e1f2b06,US_Vessel_Traffic_2021_05_creds,https://utility.arcgis.com/usrsvcs/servers/da6e43ec357c4922a770a7f54e1f2b06/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/4
US Vessel Traffic 2021 06,06,2021,2021_06,6ad5d75e210a41468d358574ca09eac6,US_Vessel_Traffic_2021_06_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_06_optimized/VectorTileServer,2cb3e551667946aab733a6ec6ca19edf,US_Vessel_Traffic_2021_06_creds,https://utility.arcgis.com/usrsvcs/servers/2cb3e551667946aab733a6ec6ca19edf/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/5
US Vessel Traffic 2021 07,07,2021,2021_07,8401de63dbbc48fb9e775c6a714fd0cc,US_Vessel_Traffic_2021_07_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_07_optimized/VectorTileServer,79e512925c314b7b866cea4c0efc95e6,US_Vessel_Traffic_2021_07_creds,https://utility.arcgis.com/usrsvcs/servers/79e512925c314b7b866cea4c0efc95e6/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/6
US Vessel Traffic 2021 08,08,2021,2021_08,b75a7b5492324c09a9869aac8069e34d,US_Vessel_Traffic_2021_08_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_08_optimized/VectorTileServer,8089c2365b0d413e983bbdc71bd5176a,US_Vessel_Traffic_2021_08_creds,https://utility.arcgis.com/usrsvcs/servers/8089c2365b0d413e983bbdc71bd5176a/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/7
US Vessel Traffic 2021 09,09,2021,2021_09,3c2fd101f4194894b00c311f2e4bcb15,US_Vessel_Traffic_2021_09_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_09_optimized/VectorTileServer,8f4c1b54283f4355b7b083bda03a3bf5,US_Vessel_Traffic_2021_09_creds,https://utility.arcgis.com/usrsvcs/servers/8f4c1b54283f4355b7b083bda03a3bf5/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/8
US Vessel Traffic 2021 10,10,2021,2021_10,0bdf7e4933274c9b96808e1b36d09bc1,US_Vessel_Traffic_2021_10_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_10_optimized/VectorTileServer,8402ac2adfae43d0aeda8b15e52cb6e4,US_Vessel_Traffic_2021_10_creds,https://utility.arcgis.com/usrsvcs/servers/8402ac2adfae43d0aeda8b15e52cb6e4/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/9
US Vessel Traffic 2021 11,11,2021,2021_11,7389179acea8426a9482c057e0a97813,US_Vessel_Traffic_2021_11_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_11_optimized/VectorTileServer,f81597209e8047978cb5db31df701737,US_Vessel_Traffic_2021_11_creds,https://utility.arcgis.com/usrsvcs/servers/f81597209e8047978cb5db31df701737/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/10
US Vessel Traffic 2021 12,12,2021,2021_12,6fcc0c3970934db2ade644e323c83719,US_Vessel_Traffic_2021_12_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2021_12_optimized/VectorTileServer,0d3727df90464fb5af429c3adb8d4f38,US_Vessel_Traffic_2021_12_creds,https://utility.arcgis.com/usrsvcs/servers/0d3727df90464fb5af429c3adb8d4f38/rest/services/AIS/2021_US_Vessel_Traffic/FeatureServer/11
US Vessel Traffic 2022 01,01,2022,2022_01,8174f21c7fb8452dbb8e421dbdee6673,US_Vessel_Traffic_2022_01_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_01_optimized/VectorTileServer,f422563114ab41aa8dff0252fe1cb84f,US_Vessel_Traffic_2022_01_creds,https://utility.arcgis.com/usrsvcs/servers/f422563114ab41aa8dff0252fe1cb84f/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/0
US Vessel Traffic 2022 02,02,2022,2022_02,36b12158763a4d7e9cd8bcf2ccb5961e,US_Vessel_Traffic_2022_02_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_02_optimized/VectorTileServer,e51482501db342e3a5298cd9a2ed050d,US_Vessel_Traffic_2022_02_creds,https://utility.arcgis.com/usrsvcs/servers/e51482501db342e3a5298cd9a2ed050d/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/1
US Vessel Traffic 2022 03,03,2022,2022_03,c6afc288e42c43729e07d0100a8ac899,US_Vessel_Traffic_2022_03_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_03_optimized/VectorTileServer,2db5be8c32c44d03afc48c952f34102d,US_Vessel_Traffic_2022_03_creds,https://utility.arcgis.com/usrsvcs/servers/2db5be8c32c44d03afc48c952f34102d/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/2
